Rank,Mountain,Height (m),Height (ft),Range,Coordinates,Prominence (m),Parent mountain,First ascent,Ascents (Failed attempts) bef.2004
54,Pasu Sar,7476.00,24528.00,Batura Karakoram,36¡29?16?N 74¡35?16?E? / ?36.48778¡N 74.58778¡E,645.00,Batura Sar,1994,1 (0)
55,Yukshin Gardan Sar,7469.00,24505.00,Hispar Karakoram,36¡15?04?N 75¡22?29?E? / ?36.25111¡N 75.37472¡E,1313.00,Pumari Chhish,1984,4 (1)
56,Teram Kangri I,7462.00,24482.00,Siachen Karakoram,35¡34?48?N 77¡04?42?E? / ?35.58000¡N 77.07833¡E,1702.00,Gasherbrum I,1975,2 (0)
57,Jongsong Peak,7462.00,24482.00,Kangchenjunga Himalaya,27¡52?54?N 88¡08?09?E? / ?27.88167¡N 88.13583¡E,1298.00,Kangchenjunga,1930,2 (3)
58,Malubiting,7458.00,24469.00,Rakaposhi-Haramosh Karakoram,36¡00?12?N 74¡52?31?E? / ?36.00333¡N 74.87528¡E,2193.00,Rakaposhi,1971,2 (6)
59,Gangapurna,7455.00,24459.00,Annapurna Himalaya,28¡36?18?N 83¡57?49?E? / ?28.60500¡N 83.96361¡E,563.00,Annapurna III,1965,8 (13)
61,K12,7428.00,24370.00,Saltoro Karakoram,35¡17?45?N 77¡01?20?E? / ?35.29583¡N 77.02222¡E,1978.00,Saltoro Kangri,1974,4 (2)
62,Yangra,7422.00,24350.00,Ganesh Himalaya,28¡23?29?N 85¡07?38?E? / ?28.39139¡N 85.12722¡E,2352.00,Manaslu,1955,1 (6)
63,Sia Kangri,7422.00,24350.00,Siachen Karakoram,35¡39?48?N 76¡45?42?E? / ?35.66333¡N 76.76167¡E,640.00,Gasherbrum I,1934,6 (0)
64,Momhil Sar,7414.00,24324.00,Hispar Karakoram,36¡19?04?N 75¡02?11?E? / ?36.31778¡N 75.03639¡E *,980.00,Trivor,1964,2 (6)
65,Kabru N,7412.00,24318.00,Kangchenjunga Himalaya,27¡38?02?N 88¡07?00?E? / ?27.63389¡N 88.11667¡E,780.00,Kangchenjunga,1994,1 (2)
66,Skil Brum,7410.00,24311.00,Baltoro Karakoram,35¡51?03?N 76¡25?43?E? / ?35.85083¡N 76.42861¡E,1152.00,K2,1957,2 (1)
67,Haramosh,7409.00,24308.00,Rakaposhi Karakoram,35¡50?24?N 74¡53?51?E? / ?35.84000¡N 74.89750¡E,2277.00,Malubiting,1958,4 (3)
68,Istor-o-Nal,7403.00,24288.00,Hindu Kush,36¡22?32?N 71¡53?54?E? / ?36.37556¡N 71.89833¡E,1040.00,Noshaq,1969,4 (5)
69,Ghent Kangri,7401.00,24281.00,Saltoro Karakoram,35¡31?04?N 76¡48?02?E? / ?35.51778¡N 76.80056¡E,1493.00,Saltoro Kangri,1961,4 (0)
70,Ultar Sar,7388.00,24239.00,Batura Karakoram,36¡23?27?N 74¡43?00?E? / ?36.39083¡N 74.71667¡E,700.00,Shispare,1996,2 (5)
71,Rimo I,7385.00,24229.00,Rimo Karakoram,35¡21?18?N 77¡22?08?E? / ?35.35500¡N 77.36889¡E,1438.00,Teram Kangri I,1988,1 (3)
72,Churen Himal,7385.00,24229.00,Dhaulagiri Himalaya,28¡44?05?N 83¡13?03?E? / ?28.73472¡N 83.21750¡E,600.00,Dhaulagiri IV,1970,3 (0)
73,Teram Kangri III,7382.00,24219.00,Siachen Karakoram,35¡35?59?N 77¡02?53?E? / ?35.59972¡N 77.04806¡E,520.00,Teram Kangri I,1979,1 (0)
74,Sherpi Kangri,7380.00,24213.00,Saltoro Karakoram,35¡27?58?N 76¡46?53?E? / ?35.46611¡N 76.78139¡E *,1000.00,Ghent Kangri,1976,1 (1)
75,Labuche Kang,7367.00,24170.00,Labuche Himalaya,28¡18?15?N 86¡21?03?E? / ?28.30417¡N 86.35083¡E,1957.00,Cho Oyu,1987,1 (0)
76,Kirat Chuli,7362.00,24153.00,Kangchenjunga Himalaya,27¡47?16?N 88¡11?43?E? / ?27.78778¡N 88.19528¡E,1168.00,Kangchenjunga,1939,1 (6)
,Abi Gamin,7355.00,24131.00,Garhwal Himalaya,30¡55?57?N 79¡36?09?E? / ?30.93250¡N 79.60250¡E,217.00,Kamet,1950,17 (2)
77,Nangpai Gosum,7350.00,24114.00,Mahalangur Himalaya,28¡04?24?N 86¡36?51?E? / ?28.07333¡N 86.61417¡E,500.00,Cho Oyu,1996,3 (1)
,Gimmigela,7350.00,24114.00,Kangchenjunga Himalaya,27¡44?27?N 88¡09?31?E? / ?27.74083¡N 88.15861¡E,432.00,Kangchenjunga,1994,3 (1)
78,Jomolhari,7349.00,24111.00,Hindu Kush,36¡32?51?N 72¡06?54?E? / ?36.54750¡N 72.11500¡E,1979.00,Noshaq,1959,2 (3)
79,Chamlang,7326.00,24035.00,Jomolhari Himalaya,27¡49?36?N 89¡16?04?E? / ?27.82667¡N 89.26778¡E *,2077.00,Gangkhar Puensum,1937,4 (0)
80,Chongtar,7321.00,24019.00,Mahalangur Himalaya,27¡46?30?N 86¡58?47?E? / ?27.77500¡N 86.97972¡E,1240.00,Lhotse,1961,7 (1)
81,Baltoro Kangri,7315.00,23999.00,Baltoro Karakoram,35¡54?55?N 76¡25?45?E? / ?35.91528¡N 76.42917¡E,1300.00,Skil Brum,1994,1 (1)
82,Siguang Ri,7312.00,23990.00,Masherbrum Karakoram,35¡38?21?N 76¡40?24?E? / ?35.63917¡N 76.67333¡E,1200.00,Chogolisa,1976,1 (0)
83,The Crown,7309.00,23980.00,Mahalangur Himalaya,28¡08?50?N 86¡41?06?E? / ?28.14722¡N 86.68500¡E,650.00,Cho Oyu,1989,2 (1)
84,Huang Guan,7295.00,23934.00,Yengisogat Karakoram,36¡06?24?N 76¡12?21?E? / ?36.10667¡N 76.20583¡E,1919.00,Skil Brum (K2),1993,1 (3)
85,Porong Ri,7294.00,23930.00,Assam Himalaya,29¡48?52?N 94¡58?07?E? / ?29.81444¡N 94.96861¡E,2942.00,Mount Everest,1986,1 (0)
86,Baintha Brakk,7292.00,23924.00,Langtang Himalaya,28¡23?22?N 85¡43?12?E? / ?28.38944¡N 85.72000¡E,520.00,Shisha Pangma,1982,5 (0)
87,The Ogre,7285.00,23901.00,Panmah Karakoram,35¡56?51?N 75¡45?12?E? / ?35.94750¡N 75.75333¡E *,1891.00,Kanjut Sar,1977,3 (13)
